                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97939,                0.96359,                 1.2365,                0.86163,                0.93284,                0.94979,                0.71411,                0.84017,                 1.9272,                  1.024,               0.008878,               0.008878,               0.008878
                     36,                0.96495,                0.98078,                 1.2323,                0.92598,                0.90248,                0.96748,                0.73507,                0.79968,                0.99875,                 1.0099,               0.008845,               0.008845,               0.008845
                     37,                0.97419,                0.96765,                  1.233,                0.88827,                0.89055,                0.95482,                0.73378,                0.77023,                 1.0557,                0.99013,               0.008812,               0.008812,               0.008812
                     38,                0.94311,                0.92411,                 1.2118,                0.89585,                0.92289,                0.96994,                0.74261,                0.78227,                 1.0795,                0.99472,               0.008779,               0.008779,               0.008779
                     39,                0.94566,                0.95787,                 1.2216,                0.92132,                0.90299,                0.97263,                0.74893,                0.79466,                 1.8442,                0.99007,               0.008746,               0.008746,               0.008746
                     40,                0.92555,                0.89715,                 1.1968,                0.92524,                 0.9403,                0.97412,                0.76728,                0.75327,                0.96607,                 0.9727,               0.008713,               0.008713,               0.008713
                     41,                0.92443,                0.88132,                 1.1939,                0.92978,                0.92222,                0.97656,                 0.7464,                0.74718,                 1.2153,                0.95426,                0.00868,                0.00868,                0.00868
                     42,                 0.9072,                0.92911,                 1.1986,                 0.9481,                0.90884,                0.97821,                0.75866,                0.73372,                 1.5235,                0.95007,               0.008647,               0.008647,               0.008647
                     43,                0.88339,                0.87671,                 1.1768,                 0.9438,                0.96078,                0.98391,                0.78309,                0.71168,                 1.1135,                0.92507,               0.008614,               0.008614,               0.008614
                     44,                0.89974,                0.85188,                 1.1702,                0.93882,                 0.9162,                0.97454,                0.77901,                0.70641,                 1.0825,                0.92243,               0.008581,               0.008581,               0.008581
                     45,                0.90421,                0.84691,                 1.1985,                0.93462,                0.91542,                0.97751,                 0.7604,                0.72658,                0.81701,                0.94812,               0.008548,               0.008548,               0.008548
                     46,                 0.8958,                0.83993,                  1.171,                0.95078,                0.91306,                0.98075,                0.77491,                0.72281,                 0.7859,                0.94578,               0.008515,               0.008515,               0.008515
                     47,                 0.9191,                0.86545,                  1.216,                0.89498,                0.89038,                0.94527,                0.71417,                0.80496,                 1.6909,                 1.0001,               0.008482,               0.008482,               0.008482
                     48,                0.92021,                0.88114,                 1.2175,                0.84762,                0.88559,                0.91681,                0.70169,                0.77456,                 2.4384,                 1.0005,               0.008449,               0.008449,               0.008449
                     49,                0.90116,                0.85228,                 1.1852,                0.96861,                0.96269,                0.98867,                0.78662,                0.71388,                 1.1208,                0.94009,               0.008416,               0.008416,               0.008416
                     50,                0.89388,                0.83547,                 1.1727,                0.94339,                 0.9534,                 0.9865,                0.79996,                0.69856,                  1.501,                0.94957,               0.008383,               0.008383,               0.008383
                     51,                0.87102,                0.85651,                 1.1838,                0.96691,                 0.9602,                0.98941,                0.78728,                0.69388,                0.90621,                0.93148,                0.00835,                0.00835,                0.00835
                     52,                0.86583,                0.83419,                 1.1805,                0.95459,                0.94132,                0.98511,                0.79616,                0.70456,                 0.7953,                0.92752,               0.008317,               0.008317,               0.008317
                     53,                0.90607,                0.85106,                 1.1935,                0.96237,                0.98259,                0.99062,                0.79602,                0.70673,                0.72074,                0.93023,               0.008284,               0.008284,               0.008284
                     54,                0.87543,                0.82294,                 1.1775,                0.96549,                0.96269,                0.98739,                0.79661,                0.70421,                0.70269,                0.93147,               0.008251,               0.008251,               0.008251
                     55,                 0.8638,                  0.831,                 1.1793,                0.96757,                0.96269,                0.98934,                0.78728,                0.70835,                0.97519,                0.94299,               0.008218,               0.008218,               0.008218
                     56,                0.85988,                0.78657,                 1.1592,                0.96783,                0.97292,                0.99036,                0.81111,                0.67025,                0.93377,                  0.901,               0.008185,               0.008185,               0.008185
                     57,                0.86389,                0.81544,                 1.1819,                0.96297,                0.97047,                0.99016,                0.82163,                0.63941,                 1.0965,                0.88874,               0.008152,               0.008152,               0.008152
                     58,                0.84602,                0.78556,                 1.1419,                 0.9629,                0.96857,                0.98587,                0.80054,                0.68723,                0.81267,                0.92253,               0.008119,               0.008119,               0.008119
                     59,                0.84005,                0.78841,                 1.1432,                0.97281,                0.97914,                0.99278,                0.83026,                0.64742,                0.71641,                0.89256,               0.008086,               0.008086,               0.008086
                     60,                0.83921,                0.74544,                 1.1496,                 0.9723,                0.98259,                0.99243,                0.82305,                0.63358,                0.70464,                0.88483,               0.008053,               0.008053,               0.008053
                     61,                0.82341,                0.75164,                 1.1351,                0.94419,                0.94776,                0.97894,                0.82117,                0.63183,                 1.0501,                0.89123,                0.00802,                0.00802,                0.00802
                     62,                0.81972,                0.74086,                 1.1417,                0.97505,                0.95771,                0.99015,                0.84023,                0.61673,                 1.1822,                0.86965,               0.007987,               0.007987,               0.007987
                     63,                0.80995,                0.73873,                 1.1348,                0.96055,                0.97264,                0.98865,                0.84269,                0.61718,                 1.1308,                0.88141,               0.007954,               0.007954,               0.007954
